PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Stephen Curry,GSW,GSW @ POR,04/09/2023,W,22,26,9,15,60.0,5,10,50.0,3,3,100,0,5,5,7,0,0,1,0,26,41.5
Klay Thompson,GSW,GSW @ POR,04/09/2023,W,22,20,7,14,50.0,6,11,54.5,0,0,-,0,5,5,1,0,0,3,2,24,24.5
Draymond Green,GSW,GSW @ POR,04/09/2023,W,20,9,4,7,57.1,1,2,50.0,0,0,-,0,3,3,4,2,2,3,0,23,27.6
JaMychal Green,GSW,GSW @ POR,04/09/2023,W,12,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,1,0,1,0,1,10,7.7
Kevon Looney,GSW,GSW @ POR,04/09/2023,W,21,4,2,4,50.0,0,0,-,0,0,-,3,5,8,4,0,0,0,1,26,19.6
Donte DiVincenzo,GSW,GSW @ POR,04/09/2023,W,21,10,3,7,42.9,2,5,40.0,2,2,100,1,5,6,8,5,0,2,0,21,42.2
Jordan Poole,GSW,GSW @ POR,04/09/2023,W,17,21,7,9,77.8,4,5,80.0,3,4,75.0,0,4,4,2,0,0,2,3,31,26.8
Anthony Lamb,GSW,GSW @ POR,04/09/2023,W,11,4,2,2,100,0,0,-,0,0,-,0,3,3,3,0,1,0,2,11,15.1
Patrick Baldwin Jr.,GSW,GSW @ POR,04/09/2023,W,10,8,3,7,42.9,2,5,40.0,0,0,-,0,3,3,2,0,0,0,0,6,14.6
Lester Quinones,GSW,GSW @ POR,04/09/2023,W,11,9,2,2,100,2,2,100,3,4,75.0,1,0,1,1,1,0,1,0,11,13.7
Gary Payton II,GSW,GSW @ POR,04/09/2023,W,20,4,2,4,50.0,0,0,-,0,0,-,2,6,8,4,4,0,0,3,17,31.6
Jonathan Kuminga,GSW,GSW @ POR,04/09/2023,W,24,15,6,9,66.7,1,1,100,2,2,100,2,5,7,6,1,2,3,2,35,38.4
Moses Moody,GSW,GSW @ POR,04/09/2023,W,29,25,10,14,71.4,4,7,57.1,1,1,100,0,4,4,4,0,0,0,4,39,35.8
Stephen Curry,GSW,GSW @ SAC,04/07/2023,W,33,25,8,14,57.1,3,7,42.9,6,7,85.7,1,6,7,6,2,1,5,1,33,46.4
Donte DiVincenzo,GSW,GSW @ SAC,04/07/2023,W,29,18,7,10,70.0,4,6,66.7,0,0,-,1,5,6,9,1,0,2,1,33,39.7
Draymond Green,GSW,GSW @ SAC,04/07/2023,W,33,4,2,5,40.0,0,2,0.0,0,0,-,0,5,5,5,1,2,5,5,30,21.5
Lester Quinones,GSW,GSW @ SAC,04/07/2023,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,1,0,0,2,0,-2,0.7
